alpha, EPE, AAE, 
6.0, 0.31467038, 3.7033603, 
7.0, 0.2549717, 3.4119778, 
8.0, 0.2484888, 3.433484, 
9.0, 0.25407088, 3.4802094, 
10.0, 0.23538297, 3.242095, 
11.0, 0.22659391, 3.14156, 
12.0, 0.22783542, 3.1392546, 
13.0, 0.22127555, 3.095322, 
14.0, 0.22165665, 3.101741, 
15.0, 0.22088885, 3.1155283, 
16.0, 0.22102068, 3.13105, 
17.0, 0.22119284, 3.1479642, 
18.0, 0.22070539, 3.1588252, 
19.0, 0.2229335, 3.187595, 
20.0, 0.2236228, 3.2074223, 
21.0, 0.22506814, 3.2389052, 
22.0, 0.22656368, 3.2567942, 
23.0, 0.22772558, 3.2864027, 
24.0, 0.2283617, 3.3049514, 
