alpha, EPE, AAE, 
6.0, 0.9335749, 6.091863, 
7.0, 0.692508, 5.293806, 
8.0, 0.69208413, 5.2487226, 
9.0, 0.5944937, 5.30523, 
10.0, 0.57641894, 5.3005204, 
11.0, 0.6304796, 5.532685, 
12.0, 0.5614628, 5.1784277, 
13.0, 0.58223844, 5.459597, 
14.0, 0.57037705, 5.301075, 
15.0, 0.57375133, 5.287801, 
16.0, 0.5922102, 5.2748632, 
17.0, 0.61358905, 5.382707, 
18.0, 0.6251374, 5.4444056, 
19.0, 0.6460223, 5.6526823, 
20.0, 0.6457614, 5.5636115, 
21.0, 0.66043305, 5.7418675, 
22.0, 0.66965955, 5.8057218, 
23.0, 0.6733012, 5.743566, 
24.0, 0.6767335, 5.715907, 
