alpha, EPE, AAE, 
5,1.2300195,10.698055, 
10,0.9093616,8.258228, 
15,0.88014525,7.9230714, 
20,0.8854073,7.8239226, 
25,0.9058815,7.885277, 
30,0.9404775,8.094731, 
35,0.96723896,8.220672, 
40,0.98822135,8.106092, 
45,1.0168285,8.27224, 
