alpha, EPE, AAE, 
5,0.26030263,8.1202135, 
10,0.23394465,7.652451, 
15,0.24123469,7.9273467, 
20,0.25897002,8.458742, 
25,0.2788726,9.069498, 
30,0.29720923,9.647018, 
35,0.31398404,10.191558, 
40,0.32920724,10.691432, 
45,0.34299117,11.145734, 
