alpha, EPE, AAE, 
5.0, 1.063597, 6.5561213, 
10.0, 0.57641894, 5.3005204, 
15.0, 0.57375133, 5.287801, 
20.0, 0.6457614, 5.5636115, 
25.0, 0.68863714, 5.8331943, 
30.0, 0.73608595, 6.337604, 
35.0, 0.7931784, 6.7170143, 
40.0, 0.8633439, 7.0409408, 
45.0, 0.9202115, 7.2301536, 
