alpha, EPE, AAE, 
5.0, 0.31183407, 4.054549, 
10.0, 0.23538297, 3.242095, 
15.0, 0.22088885, 3.1155283, 
20.0, 0.2236228, 3.2074223, 
25.0, 0.23000479, 3.3344886, 
30.0, 0.2374853, 3.4680815, 
35.0, 0.24509488, 3.6060123, 
40.0, 0.2516757, 3.7239742, 
45.0, 0.2587714, 3.8505564, 
